cuda
saved stats to ./Pretrain/Planners/pointmaze/large/Stats/PointMaze_Large_Planner_stats.pkl
Training planner for pointmaze-large Dataset
Backbone:transformer, Horizon: 32, Epochs: 1000000, Batch Size: 128, Learning Rate; 0.0002
Pretraining hyperparameters saved to ./Pretrain/Planners/args/pointmaze/large/hyperparameters.json
step 2190 loss 0.0888149008154869
step 2200 loss 0.0885708637535572
step 2210 loss 0.08831513375043869
step 2220 loss 0.0884197324514389
step 2230 loss 0.09021668657660484
step 2240 loss 0.08979135304689408
step 2250 loss 0.0914658822119236
step 2260 loss 0.09112170934677125
step 2270 loss 0.08778378516435623
step 2280 loss 0.08721973747015
step 2290 loss 0.08906018808484077
step 2300 loss 0.08912324458360672
step 2310 loss 0.09040325209498405
step 2320 loss 0.08839431032538414
step 2330 loss 0.0877862423658371
step 2340 loss 0.0885852612555027
step 2350 loss 0.09057665914297104
step 2360 loss 0.08934464380145073
step 2370 loss 0.0929769143462181
step 2380 loss 0.08899958059191704
step 2390 loss 0.08620922714471817
step 2400 loss 0.08871299624443055
step 2410 loss 0.088042351603508
step 2420 loss 0.08452576100826263
step 2430 loss 0.08648247942328453
step 2440 loss 0.08577174991369248
step 2450 loss 0.09080042243003845
step 2460 loss 0.08683243319392205
step 2470 loss 0.08735719621181488
step 2480 loss 0.09045125320553779
step 2490 loss 0.08659242391586304
step 2500 loss 0.08905840441584587
step 2510 loss 0.08782141506671906
step 2520 loss 0.0868024356663227
step 2530 loss 0.08673469573259354
step 2540 loss 0.08573786392807961
step 2550 loss 0.08306163474917412
step 2560 loss 0.08868799582123757
step 2570 loss 0.08706336840987206
step 2580 loss 0.08589498102664947
step 2590 loss 0.08566879108548164
step 2600 loss 0.08736802861094475
step 2610 loss 0.08612016513943672
step 2620 loss 0.08546140491962433
step 2630 loss 0.08698212131857871
step 2640 loss 0.09011060148477554
step 2650 loss 0.08536435589194298
step 2660 loss 0.08842695504426956
step 2670 loss 0.08342254683375358
step 2680 loss 0.08939388245344163
step 2690 loss 0.08720520883798599
step 2700 loss 0.08708754479885102
step 2710 loss 0.08568622022867203
step 2720 loss 0.08894325345754624
step 2730 loss 0.08499833568930626
step 2740 loss 0.08422200232744217
step 2750 loss 0.08442938700318336
step 2760 loss 0.08677871525287628
step 2770 loss 0.08655439168214799
step 2780 loss 0.08385921642184258
step 2790 loss 0.08342957124114037
step 2800 loss 0.08478295356035233
step 2810 loss 0.08583889901638031
step 2820 loss 0.0846339300274849
step 2830 loss 0.08705532774329186
step 2840 loss 0.08842447698116303
step 2850 loss 0.08413734659552574
step 2860 loss 0.08264493048191071
step 2870 loss 0.08170568719506263
step 2880 loss 0.0843489058315754
step 2890 loss 0.08736798390746117
step 2900 loss 0.0833581916987896
step 2910 loss 0.08544871285557747
step 2920 loss 0.08838483840227127
step 2930 loss 0.08331322222948075
step 2940 loss 0.08481919094920158
step 2950 loss 0.08576273024082184
step 2960 loss 0.08465568423271179
step 2970 loss 0.08843714371323586
step 2980 loss 0.08533440977334976
step 2990 loss 0.08701000362634659
step 3000 loss 0.08328332379460335
step 3010 loss 0.08439099863171577
step 3020 loss 0.083022940158844
step 3030 loss 0.08043874800205231
step 3040 loss 0.0840212918817997
step 3050 loss 0.08504816591739654
step 3060 loss 0.08329194337129593
step 3070 loss 0.0851778194308281
step 3080 loss 0.08530373573303222
step 3090 loss 0.08308397307991981
step 3100 loss 0.0853001169860363
step 3110 loss 0.08226468786597252
step 3120 loss 0.08709577247500419
step 3130 loss 0.08445843607187271
step 3140 loss 0.08191314861178398
step 3150 loss 0.08189469799399376
step 3160 loss 0.08283235356211663
step 3170 loss 0.08712976649403573
step 3180 loss 0.08517728373408318
step 3190 loss 0.08441542610526084
step 3200 loss 0.0824974611401558
step 3210 loss 0.08389589563012123
step 3220 loss 0.0851043626666069
step 3230 loss 0.08653443679213524
step 3240 loss 0.07985985428094863
step 3250 loss 0.08045129254460334
step 3260 loss 0.08331885039806367
step 3270 loss 0.08201596960425377
step 3280 loss 0.0824121855199337
step 3290 loss 0.08104543164372444
step 3300 loss 0.08382762521505356
step 3310 loss 0.08237522765994072
step 3320 loss 0.08699230551719665
step 3330 loss 0.08083033189177513
step 3340 loss 0.08451983481645584
step 3350 loss 0.08254395425319672
step 3360 loss 0.0833351768553257
step 3370 loss 0.08244290426373482
step 3380 loss 0.08051037862896919
step 3390 loss 0.08197595030069352
step 3400 loss 0.08172238990664482
step 3410 loss 0.07907233461737632
step 3420 loss 0.08244737461209298
step 3430 loss 0.08448528349399567
step 3440 loss 0.08074210211634636
step 3450 loss 0.08690723851323127
step 3460 loss 0.08206570520997047
step 3470 loss 0.08136393427848816
step 3480 loss 0.08004049062728882
step 3490 loss 0.07893225327134132
step 3500 loss 0.08262129351496697
step 3510 loss 0.08102387264370918
step 3520 loss 0.08496482372283935
step 3530 loss 0.08291366547346116
step 3540 loss 0.08322610035538673
step 3550 loss 0.0796978548169136
step 3560 loss 0.07953291535377502
step 3570 loss 0.0820422738790512
step 3580 loss 0.08477317318320274
step 3590 loss 0.08148187696933747
step 3600 loss 0.07965016588568688
step 3610 loss 0.0798018716275692
step 3620 loss 0.0823878712952137
step 3630 loss 0.08290344774723053
step 3640 loss 0.08432393819093705
step 3650 loss 0.08173290491104127
step 3660 loss 0.07907133251428604
step 3670 loss 0.08299731388688088
step 3680 loss 0.07998152077198029
step 3690 loss 0.08086556866765023
step 3700 loss 0.08284910842776298
step 3710 loss 0.08305845409631729
step 3720 loss 0.0830717071890831
step 3730 loss 0.08329115584492683
step 3740 loss 0.07984133958816528
step 3750 loss 0.08082161918282509
step 3760 loss 0.08044013604521752
step 3770 loss 0.08004722446203232
step 3780 loss 0.08255867436528205
step 3790 loss 0.08075276538729667
step 3800 loss 0.08127566426992416
step 3810 loss 0.08157700598239899
step 3820 loss 0.07955287173390388
step 3830 loss 0.07905034571886063
step 3840 loss 0.08030367270112038
step 3850 loss 0.08425221741199493
step 3860 loss 0.08040749952197075
step 3870 loss 0.07979999855160713
step 3880 loss 0.07948144897818565
step 3890 loss 0.08157669305801392
step 3900 loss 0.07953910753130913
step 3910 loss 0.08124101310968398
step 3920 loss 0.08047507032752037
step 3930 loss 0.08166605159640312
step 3940 loss 0.07872197553515434
step 3950 loss 0.07943330630660057
step 3960 loss 0.0846176229417324
step 3970 loss 0.07999937683343887
step 3980 loss 0.07927547320723534
