Training reward approximator for kitchen Dataset
saved stats to ./Rewards/Kitchen_Reward/Stats/Kitchen_Reward_stats.pkl
Step 5450, loss -6.1747
Step 5460, loss -6.1831
Step 5470, loss -6.1780
Step 5480, loss -6.1894
Step 5490, loss -6.1983
Step 5500, loss -6.1877
reward model save to Kitchen_Reward_5500.pkl
Step 5510, loss -6.1968
Step 5520, loss -6.1990
Step 5530, loss -6.1968
Step 5540, loss -6.1987
Step 5550, loss -6.1884
Step 5560, loss -6.1677
Step 5570, loss -6.1761
Step 5580, loss -6.2164
Step 5590, loss -6.2069
Step 5600, loss -6.1759
reward model save to Kitchen_Reward_5600.pkl
Step 5610, loss -6.2036
Step 5620, loss -6.1949
Step 5630, loss -6.1760
Step 5640, loss -6.1891
Step 5650, loss -6.2023
Step 5660, loss -6.2072
Step 5670, loss -6.2045
Step 5680, loss -6.1944
Step 5690, loss -6.1872
Step 5700, loss -6.2002
reward model save to Kitchen_Reward_5700.pkl
Step 5710, loss -6.1993
Step 5720, loss -6.1708
Step 5730, loss -6.2216
Step 5740, loss -6.2034
Step 5750, loss -6.2192
Step 5760, loss -6.2488
Step 5770, loss -6.1966
Step 5780, loss -6.2398
Step 5790, loss -6.1953
Step 5800, loss -6.2110
reward model save to Kitchen_Reward_5800.pkl
Step 5810, loss -6.2150
Step 5820, loss -6.1881
Step 5830, loss -6.2273
Step 5840, loss -6.2095
Step 5850, loss -6.2103
Step 5860, loss -6.2144
Step 5870, loss -6.1814
Step 5880, loss -6.1915
Step 5890, loss -6.2271
Step 5900, loss -6.1861
reward model save to Kitchen_Reward_5900.pkl
Step 5910, loss -6.2076
Step 5920, loss -6.2270
Step 5930, loss -6.1855
Step 5940, loss -6.2162
Step 5950, loss -6.2149
Step 5960, loss -6.2179
Step 5970, loss -6.2240
Step 5980, loss -6.2118
Step 5990, loss -6.2278
Step 6000, loss -6.2131
reward model save to Kitchen_Reward_6000.pkl
Step 6010, loss -6.2262
Step 6020, loss -6.2141
Step 6030, loss -6.2305
Step 6040, loss -6.2446
Step 6050, loss -6.2186
Step 6060, loss -6.2325
Step 6070, loss -6.2010
Step 6080, loss -6.1906
Step 6090, loss -6.2223
Step 6100, loss -6.2309
reward model save to Kitchen_Reward_6100.pkl
Step 6110, loss -6.2524
Step 6120, loss -6.2412
Step 6130, loss -6.2564
