Training kernel for kitchen Dataset
Using device: cuda
saved stats to ./Transition_Kernel/Kitchen_Kernel/Stats/Kitchen_Kernel_stats.pkl

Step 3910, loss -83.1480
Step 3920, loss -81.7332
Step 3930, loss -83.2416
Step 3940, loss -83.6947
Step 3950, loss -83.5985
Step 3960, loss -84.5207
Step 3970, loss -85.7993
Step 3980, loss -83.5298
Step 3990, loss -84.5788
Step 4000, loss -87.1138
Step 4010, loss -86.2477
Step 4020, loss -85.8219
Step 4030, loss -86.8516
Step 4040, loss -82.5022
Step 4050, loss -86.4198
Step 4060, loss -81.5977
Step 4070, loss -85.3573
Step 4080, loss -88.3620
Step 4090, loss -85.6710
Step 4100, loss -84.6725
Step 4110, loss -84.1225
Step 4120, loss -86.3423
Step 4130, loss -85.3155
Step 4140, loss -85.2242
Step 4150, loss -85.9023
Step 4160, loss -87.6717
Step 4170, loss -88.8770
Step 4180, loss -88.5315
Step 4190, loss -84.0609
Step 4200, loss -80.8381
Step 4210, loss -83.4196
Step 4220, loss -85.5039
Step 4230, loss -88.1437
Step 4240, loss -88.8083
Step 4250, loss -89.5609
Step 4260, loss -88.0469
Step 4270, loss -86.1617
Step 4280, loss -87.9104
Step 4290, loss -85.3097
Step 4300, loss -84.8463
Step 4310, loss -84.3937
Step 4320, loss -86.6133
Step 4330, loss -89.1022
Step 4340, loss -86.2428
Step 4350, loss -86.2407
Step 4360, loss -85.3940
Step 4370, loss -88.5164
Step 4380, loss -89.0869
Step 4390, loss -90.4380
Step 4400, loss -87.6605
Step 4410, loss -87.9891
Step 4420, loss -84.6163
Step 4430, loss -88.3675
Step 4440, loss -87.5607
Step 4450, loss -90.6639
Step 4460, loss -87.7270
Step 4470, loss -88.3593
Step 4480, loss -89.2259
Step 4490, loss -89.1442
Step 4500, loss -91.0604
Step 4510, loss -91.5833
Step 4520, loss -89.9291
Step 4530, loss -85.9392
Step 4540, loss -89.2301
Step 4550, loss -86.8870
Step 4560, loss -91.2939
Step 4570, loss -88.1235
Step 4580, loss -89.9884
Step 4590, loss -89.5597
Step 4600, loss -89.1446
Step 4610, loss -91.4753
Step 4620, loss -91.8830
Step 4630, loss -90.9754
Step 4640, loss -88.3641
Step 4650, loss -91.1517
Step 4660, loss -92.8371
Step 4670, loss -93.4051
Step 4680, loss -92.6446
Step 4690, loss -89.0881
Step 4700, loss -91.9157
Step 4710, loss -91.9058
Step 4720, loss -89.5887
Step 4730, loss -91.5506
Step 4740, loss -94.3611
Step 4750, loss -92.3414
Step 4760, loss -92.8421
Step 4770, loss -90.8301
Step 4780, loss -88.7166
Step 4790, loss -90.4976
Step 4800, loss -92.1099
Step 4810, loss -93.7735
Step 4820, loss -91.0519
Step 4830, loss -91.7773
Step 4840, loss -92.9969
Step 4850, loss -92.1174
Step 4860, loss -89.8047
Step 4870, loss -91.6674
Step 4880, loss -93.2051
Step 4890, loss -90.8434
Step 4900, loss -90.2192
Step 4910, loss -90.4727
Step 4920, loss -95.9449
Step 4930, loss -87.5520
Step 4940, loss -88.8579
Step 4950, loss -89.5232
Step 4960, loss -87.3874
Step 4970, loss -91.1761
Step 4980, loss -94.0826
Step 4990, loss -95.6981
Step 5000, loss -95.9389
Kernel model save to Kitchen_Kernel_5000.pkl
Step 5010, loss -93.2911
Step 5020, loss -93.7021
Step 5030, loss -91.8612
Step 5040, loss -92.7415
Step 5050, loss -94.6538
Step 5060, loss -92.3200
Step 5070, loss -91.7996
Step 5080, loss -94.8465
Step 5090, loss -93.5963
Step 5100, loss -93.1993
Step 5110, loss -92.8980
Step 5120, loss -87.6921
Step 5130, loss -93.9554
Step 5140, loss -96.4091
Step 5150, loss -94.1575
Step 5160, loss -94.5252
Step 5170, loss -95.8513
Step 5180, loss -95.4114
Step 5190, loss -96.6380
Step 5200, loss -91.4510
Step 5210, loss -87.3721
Step 5220, loss -91.6402
Step 5230, loss -94.5801
Step 5240, loss -93.7180
Step 5250, loss -95.6967
Step 5260, loss -93.8137
Step 5270, loss -96.9135
Step 5280, loss -98.7820
Step 5290, loss -94.6257
Step 5300, loss -94.4499
Step 5310, loss -92.3657
Step 5320, loss -91.8550
Step 5330, loss -94.8824
Step 5340, loss -93.5155
Step 5350, loss -94.1940
Step 5360, loss -98.5661
Step 5370, loss -98.4334
Step 5380, loss -96.5529
Step 5390, loss -98.3630
Step 5400, loss -95.4434
Step 5410, loss -97.3116
Step 5420, loss -98.1170
Step 5430, loss -98.7289
Step 5440, loss -97.6798
Step 5450, loss -94.7300
Step 5460, loss -99.0191
Step 5470, loss -97.3153
